StockExchange,Stock,StockTicker,Date,Open,High,Low,Close,AdjClose,Volume
NYSE,Google,GOOG,11/20/2019,"1,311.74","1,315.00","1,291.15","1,303.05","1,303.05",1308600
NYSE,Google,GOOG,11/21/2019,"1,301.48","1,312.59","1,293.00","1,301.35","1,301.35",995500
NYSE,Google,GOOG,11/22/2019,"1,305.62","1,308.73","1,291.41","1,295.34","1,295.34",1385700
NYSE,Google,GOOG,11/25/2019,"1,299.18","1,311.31","1,298.13","1,306.69","1,306.69",1036200
NYSE,Google,GOOG,11/26/2019,"1,309.86","1,314.80","1,305.09","1,313.55","1,313.55",1069700
NYSE,Google,GOOG,11/27/2019,"1,315.00","1,318.36","1,309.63","1,312.99","1,312.99",995600
NYSE,Google,GOOG,11/29/2019,"1,307.12","1,310.20","1,303.97","1,304.96","1,304.96",587000
NYSE,Google,GOOG,12/2/2019,"1,301.00","1,305.83","1,281.00","1,289.92","1,289.92",1510900
NYSE,Google,GOOG,12/3/2019,"1,279.57","1,298.46","1,279.00","1,295.28","1,295.28",1143800
NYSE,Google,GOOG,12/4/2019,"1,307.01","1,325.80","1,304.87","1,320.54","1,320.54",1537500
NYSE,Google,GOOG,12/5/2019,"1,328.00","1,329.36","1,316.44","1,328.13","1,328.13",1212700
NYSE,Google,GOOG,12/6/2019,"1,333.44","1,344.00","1,333.44","1,340.62","1,340.62",1314800
NYSE,Google,GOOG,12/9/2019,"1,338.04","1,359.45","1,337.84","1,343.56","1,343.56",1354300
NYSE,Google,GOOG,12/10/2019,"1,341.50","1,349.97","1,336.04","1,344.66","1,344.66",1094100
NYSE,Google,GOOG,12/11/2019,"1,350.84","1,351.20","1,342.67","1,345.02","1,345.02",850400
NYSE,Google,GOOG,12/12/2019,"1,345.94","1,355.78","1,340.50","1,350.27","1,350.27",1281000
NYSE,Google,GOOG,12/13/2019,"1,347.95","1,353.09","1,343.87","1,347.83","1,347.83",1549600
NYSE,Google,GOOG,12/16/2019,"1,356.50","1,364.68","1,352.67","1,361.17","1,361.17",1397300
NYSE,Google,GOOG,12/17/2019,"1,362.89","1,365.00","1,351.32","1,355.12","1,355.12",1854000
NYSE,Google,GOOG,12/18/2019,"1,356.60","1,360.47","1,351.00","1,352.62","1,352.62",1522600
NYSE,Google,GOOG,12/19/2019,"1,351.82","1,358.10","1,348.98","1,356.04","1,356.04",1469900
NYSE,Google,GOOG,12/20/2019,"1,363.35","1,363.64","1,349.00","1,349.59","1,349.59",3315000
NYSE,Google,GOOG,12/23/2019,"1,355.87","1,359.80","1,346.51","1,348.84","1,348.84",883100
NYSE,Google,GOOG,12/24/2019,"1,348.50","1,350.26","1,342.78","1,343.56","1,343.56",347500
NYSE,Google,GOOG,12/26/2019,"1,346.17","1,361.33","1,344.47","1,360.40","1,360.40",667500
NYSE,Google,GOOG,12/27/2019,"1,362.99","1,364.53","1,349.31","1,351.89","1,351.89",1038400
NYSE,Google,GOOG,12/30/2019,"1,350.00","1,353.00","1,334.02","1,336.14","1,336.14",1050900
NYSE,Google,GOOG,12/31/2019,"1,330.11","1,338.00","1,329.08","1,337.02","1,337.02",961800
NYSE,Google,GOOG,1/2/2020,"1,341.55","1,368.14","1,341.55","1,367.37","1,367.37",1406600
NYSE,Google,GOOG,1/3/2020,"1,347.86","1,372.50","1,345.54","1,360.66","1,360.66",1186400
NYSE,Google,GOOG,1/6/2020,"1,350.00","1,396.50","1,350.00","1,394.21","1,394.21",1732300
NYSE,Google,GOOG,1/7/2020,"1,397.94","1,402.99","1,390.38","1,393.34","1,393.34",1502700
NYSE,Google,GOOG,1/8/2020,"1,392.08","1,411.58","1,390.84","1,404.32","1,404.32",1528000
NYSE,Google,GOOG,1/9/2020,"1,420.57","1,427.33","1,410.27","1,419.83","1,419.83",1500900
NYSE,Google,GOOG,1/10/2020,"1,427.56","1,434.93","1,418.35","1,429.73","1,429.73",1820700
NYSE,Google,GOOG,1/13/2020,"1,436.13","1,440.52","1,426.02","1,439.23","1,439.23",1652300
NYSE,Google,GOOG,1/14/2020,"1,439.01","1,441.80","1,428.37","1,430.88","1,430.88",1558900
NYSE,Google,GOOG,1/15/2020,"1,430.21","1,441.40","1,430.21","1,439.20","1,439.20",1282700
NYSE,Google,GOOG,1/16/2020,"1,447.44","1,451.99","1,440.92","1,451.70","1,451.70",1173700
NYSE,Google,GOOG,1/17/2020,"1,462.91","1,481.30","1,458.22","1,480.39","1,480.39",2396200
NYSE,Google,GOOG,1/21/2020,"1,479.12","1,491.85","1,471.20","1,484.40","1,484.40",2036700
NYSE,Google,GOOG,1/22/2020,"1,491.00","1,503.21","1,484.93","1,485.95","1,485.95",1610800
NYSE,Google,GOOG,1/23/2020,"1,487.64","1,495.52","1,482.10","1,486.65","1,486.65",1351200
NYSE,Google,GOOG,1/24/2020,"1,493.59","1,495.49","1,465.25","1,466.71","1,466.71",1784600
NYSE,Google,GOOG,1/27/2020,"1,431.00","1,438.07","1,421.20","1,433.90","1,433.90",1755200
NYSE,Google,GOOG,1/28/2020,"1,443.00","1,456.00","1,432.47","1,452.56","1,452.56",1577400
NYSE,Google,GOOG,1/29/2020,"1,458.80","1,465.43","1,446.74","1,458.63","1,458.63",1077700
NYSE,Google,GOOG,1/30/2020,"1,439.96","1,457.28","1,436.40","1,455.84","1,455.84",1339400
NYSE,Google,GOOG,1/31/2020,"1,468.90","1,470.13","1,428.53","1,434.23","1,434.23",2417200
NYSE,Google,GOOG,2/3/2020,"1,462.00","1,490.00","1,458.99","1,485.94","1,485.94",3055200
NYSE,Google,GOOG,2/4/2020,"1,457.07","1,469.50","1,426.30","1,447.07","1,447.07",3933000
